@RELATION bachelor

@ATTRIBUTE season numeric
@ATTRIBUTE name string
@ATTRIBUTE contestant_name string
@ATTRIBUTE age numeric
@ATTRIBUTE hometown numeric
@ATTRIBUTE occupation string
@ATTRIBUTE enliminated numeric
@ATTRIBUTE haircolor {Blonde,Brown,Red,Lightbrown,Black,Bald}
@ATTRIBUTE ethnicity {Caucasion,AfricanAmerican,Asian,Hispanic,European,}
@ATTRIBUTE limoordere numeric

@DATA
17,SeanLowe,LesleyM,24,3,PoliticalConsultant,22,Blonde,Caucasion,21
17,SeanLowe,Tierra,24,1,LeasingConsultant,21,Brown,Caucasion,14
17,SeanLowe,Daniella,24,1,CommercialCastingAssociate,20,Blonde,Caucasion,5
17,SeanLowe,Sarah,26,1,AdvertisingExecutive,19,Blonde,Caucasion,18
17,SeanLowe,Selma,29,1,RealEstateDealer,18,Brown,Caucasion,3
17,SeanLowe,Jackie,25,3,CosmeticsConsultant,17,Brown,Caucasion,2
17,SeanLowe,Robyn,24,3,OilFieldAccountManager,16,Black,AfricanAmerican,11
17,SeanLowe,Amanda,26,1,FitModel,15,Brown,Caucasion,15
17,SeanLowe,LeslieH,28,3,PokerDealer,14,Black,AfricanAmerican,4
17,SeanLowe,Kacie,25,0,Seebelow,13,Red,Hispanic,26
17,SeanLowe,Kristy,25,2,Model,12,Brown,Caucasion,22
17,SeanLowe,Taryn,30,1,HealthClubManager,11,Blonde,Caucasion,9
17,SeanLowe,Brooke,25,4,CommunityOrganizer,10,Red,AfricanAmerican,19
17,SeanLowe,Diana,31,1,SalonOwner,9,Brown,Caucasion,20
17,SeanLowe,Katie,27,2,YogaInstructor,8,Brown,Caucasion,7
17,SeanLowe,AshleyH,25,3,FashionModel,7,Black,AfricanAmerican,23
17,SeanLowe,AshleyP,28,2,HairStylist,6,Brown,Caucasion,8
17,SeanLowe,Kelly,28,3,CruiseShipEntertainer,5,Blonde,Caucasion,6
17,SeanLowe,Keriann,29,1,Entrepreneur,4,Blonde,Caucasion,16
17,SeanLowe,Lacey,24,1,GraduateStudent,3,Blonde,Caucasion,12
17,SeanLowe,Lauren,27,4,Journalist,2,Blonde,Caucasion,24
17,SeanLowe,Paige,25,4,JumbotronOperator,1,Brown,Caucasion,13
18,JuanPabloGalavis,NikkiFerrell,26,2,PediatricNurse,27,Blonde,Caucasion,5
18,JuanPabloGalavis,ClareCrawley,32,1,Hairstylist,26,Blonde,Caucasion,23
18,JuanPabloGalavis,AndiDorfman,26,3,AssistantDistrictAttorney,25,Black,Hispanic,26
18,JuanPabloGalavis,ReneeOteri,32,4,RealEstateAgent,24,Brown,Caucasion,17
18,JuanPabloGalavis,ChelsieWebster,24,2,ScienceEducator,23,Blonde,Caucasion,12
18,JuanPabloGalavis,SharleenJoynt,29,6,OperaSinger,22,Brown,Hispanic,22
18,JuanPabloGalavis,KatHurd,29,2,MedicalSalesRepresentative/NBADancer,21,Blonde,Caucasion,1
18,JuanPabloGalavis,CassandraFerguson,22,2,FormerNBADance,20,Brown,Caucasion,10
18,JuanPabloGalavis,AlliRestko,26,2,Nanny,19,Brown,Caucasion,14
18,JuanPabloGalavis,DanielleRonco,25,2,PsychiatricNurse,18,Brown,AfricanAmerican,8
18,JuanPabloGalavis,KellyTravis,27,3,DogLover,17,Brown,Caucasion,15
18,JuanPabloGalavis,EliseMosca,27,4,FirstGradeTeacher,16,Blonde,Caucasion,25
18,JuanPabloGalavis,LaurenSolomon,26,3,MusicComposer,15,Brown,Hispanic,11
18,JuanPabloGalavis,ChristyHansen,24,2,MarketingManager,14,Blonde,Caucasion,3
18,JuanPabloGalavis,LucyAragon,25,1,FreeSpirit,13,Brown,Caucasion,6
18,JuanPabloGalavis,AmyLong,27,3,LocalNewsReporter,12,Brown,Hispanic,2
18,JuanPabloGalavis,ChantelForrest,27,3,AccountManager,11,Black,AfricanAmerican,4
18,JuanPabloGalavis,VictoriaLima,24,7,LegalAssistant,10,Brown,Hispanic,9
18,JuanPabloGalavis,AlexisMorgado,24,3,CommunicationDirector/NHLIceGirl,9,Brown,Hispanic,16
18,JuanPabloGalavis,AmyJokinen,31,3,MassageTherapist,8,Brown,Caucasion,14
18,JuanPabloGalavis,AshleyPoe,25,3,GradeSchoolTeacher,7,Brown,Asian,19
18,JuanPabloGalavis,ChristineLlano,23,3,PoliceSupportSpecialist,6,Blonde,Caucasion,13
18,JuanPabloGalavis,KylieLewis,23,2,InteriorDesigner,5,Red,Caucasion,18
18,JuanPabloGalavis,LacyFaddoul,25,1,NursingHomeOwner,4,Brown,Caucasion,20
18,JuanPabloGalavis,LaurenHigginson,25,3,MineralCoordinator,3,Brown,Hispanic,21
18,JuanPabloGalavis,MaggieGantt,24,3,PersonalBanker,2,Brown,Caucasion,7
18,JuanPabloGalavis,ValerieEredia,26,1,PersonalTrainer,1,Black,Hispanic,24
